Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,Distance (km),Alphabetical trip,
2018-05-18 14:44,2018-05-18 15:56,1:12,Lausanne,Bern,IR,2525,96.7,Bern - Lausanne,
2018-05-18 16:04,2018-05-18 16:59,0:55,Bern,Basel SBB,ICE,376,100.3,Basel SBB - Bern,
2018-05-20 19:31,2018-05-20 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-05-20 20:34,2018-05-20 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-05-25 19:20,2018-05-25 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-05-25 20:36,2018-05-25 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-05-27 19:31,2018-05-27 19:55,0:24,Basel SBB,Olten,IC,10185,31.8,Basel SBB - Olten,
2018-05-27 20:02,2018-05-27 21:45,1:43,Olten,Lausanne,IC,1534,159,Lausanne - Olten,
2018-06-30 19:20,2018-06-30 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-06-30 20:36,2018-06-30 21:34,0:58,Bern,Basel SBB,IC,10184,100.3,Basel SBB - Bern,
2018-07-30 19:28,2018-07-30 19:55,0:27,Basel SBB,Olten,IC,10185,31.8,Basel SBB - Olten,
2018-07-30 20:02,2018-07-30 21:45,1:43,Olten,Lausanne,IC,1534,159,Lausanne - Olten,
2018-08-04 19:15,2018-08-04 20:57,1:42,Lausanne,Olten,IC,1537,159,Lausanne - Olten,
2018-08-04 21:05,2018-08-04 21:34,0:29,Olten,Basel SBB,IC,10184,31.8,Basel SBB - Olten,
2018-08-05 07:48,2018-08-05 09:31,1:43,Basel Badischer Bahnhof,Ringsheim,RE,5334,91.1,Basel Badischer Bahnhof - Ringsheim,
2018-08-05 21:04,2018-08-05 22:49,1:45,Ringsheim,Basel Badischer Bahnhof,RE,17085,91.1,Basel Badischer Bahnhof - Ringsheim,
2018-08-06 07:02,2018-08-06 07:20,0:18,Sierentz,Basel SBB,TER,,17.1,Basel SBB - Sierentz,
2018-08-06 08:28,2018-08-06 08:55,0:27,Basel SBB,Olten,IC,10163,31.8,Basel SBB - Olten,
2018-08-06 09:02,2018-08-06 10:45,1:43,Olten,Lausanne,IC,1512,159,Lausanne - Olten,
2018-08-09 19:15,2018-08-09 20:57,1:42,Lausanne,Olten,IC,1537,159,Lausanne - Olten,
2018-08-09 21:05,2018-08-09 21:34,0:29,Olten,Basel SBB,IC,10184,31.8,Basel SBB - Olten,
2018-08-11 07:26,2018-08-11 08:58,1:32,Basel Badischer Bahnhof,Ringsheim,RE,17040,91.1,Basel Badischer Bahnhof - Ringsheim,
2018-08-11 19:26,2018-08-11 21:12,1:46,Ringsheim,Basel Badischer Bahnhof,RE,17039,91.1,Basel Badischer Bahnhof - Ringsheim,
2018-08-23 13:30,2018-08-23 13:44,0:14,St-Louis,Mulhouse,TER,96226,27,Mulhouse - St-Louis,
2018-09-18 19:04,2018-09-18 19:28,0:24,Basel SBB,Olten,IC,687,31.8,Basel SBB - Olten,
2018-09-18 19:40,2018-09-18 20:51,1:11,Olten,Yverdon-les-Bains,IC,534,128.1,Olten - Yverdon-les-Bains,
2018-09-18 20:57,2018-09-18 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,12583,35.2,Renens VD - Yverdon-les-Bains,
2018-10-05 19:02,2018-10-05 19:09,0:07,Renens VD,Lausanne,RE,3233,3.9,Lausanne - Renens VD,
2018-10-05 19:20,2018-10-05 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-10-05 20:36,2018-10-05 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-10-07 19:31,2018-10-07 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-10-07 20:34,2018-10-07 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-10-07 21:49,2018-10-07 21:54,0:05,Lausanne,Renens VD,RE,3234,3.9,Lausanne - Renens VD,
2018-10-19 19:20,2018-10-19 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-10-19 20:36,2018-10-19 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-10-21 19:31,2018-10-21 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-10-21 20:34,2018-10-21 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-10-21 21:49,2018-10-21 21:54,0:05,Lausanne,Renens VD,RE,3234,3.9,Lausanne - Renens VD,
2018-11-02 19:20,2018-11-02 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-11-02 20:36,2018-11-02 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-11-04 19:31,2018-11-04 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-11-04 20:34,2018-11-04 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-11-04 21:49,2018-11-04 21:54,0:05,Lausanne,Renens VD,RE,3234,3.9,Lausanne - Renens VD,
2018-11-09 19:20,2018-11-09 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-11-09 20:36,2018-11-09 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-11-11 19:03,2018-11-11 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,101.1,Basel SBB - Biel/Bienne,
2018-11-11 20:16,2018-11-11 21:20,1:04,Biel/Bienne,Morges,IC,30934,104.1,Biel/Bienne - Morges,
2018-11-18 12:23,2018-11-18 16:03,3:40,Lausanne,Paris Gare de Lyon,TGV Lyria,9268,480.2,Lausanne - Paris Gare de Lyon,
2018-11-20 07:57,2018-11-20 11:37,3:40,Paris Gare de Lyon,Lausanne,TGV Lyria,9261,480.2,Lausanne - Paris Gare de Lyon,
2018-12-21 19:20,2018-12-21 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-12-21 20:36,2018-12-21 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-12-26 19:03,2018-12-26 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,101.1,Basel SBB - Biel/Bienne,
2018-12-26 20:16,2018-12-26 20:51,0:35,Biel/Bienne,Yverdon-les-Bains,IC,534,65.1,Biel/Bienne - Yverdon-les-Bains,
2018-12-26 20:57,2018-12-26 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,35.2,Renens VD - Yverdon-les-Bains,
2019-01-31 19:02,2019-01-31 19:09,0:07,Renens VD,Lausanne,RE,18457,3.9,Lausanne - Renens VD,
2019-01-31 19:20,2019-01-31 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2019-01-31 20:36,2019-01-31 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2019-02-02 19:13,2019-02-02 21:52,2:39,Basel SBB,Chur,IR,1985,206.2,Basel SBB - Chur,
2019-02-08 19:09,2019-02-08 21:27,2:18,Chur,Basel SBB,IC,584,206.2,Basel SBB - Chur,
2019-02-17 19:20,2019-02-17 19:37,0:17,Bulle,Romont,RE,4035,17.8,Bulle - Romont,
2019-02-17 19:44,2019-02-17 20:16,0:32,Romont,Lausanne,IR,2532,39.9,Lausanne - Romont,
2019-02-17 20:27,2019-02-17 20:33,0:06,Lausanne,Renens VD,RE,31076,3.9,Lausanne - Renens VD,
2019-03-29 19:20,2019-03-29 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2019-03-29 20:36,2019-03-29 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2019-03-31 19:31,2019-03-31 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2019-03-31 20:34,2019-03-31 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2019-04-18 19:20,2019-04-18 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2019-04-18 20:36,2019-04-18 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2019-04-24 08:00,2019-04-24 09:12,1:12,St-Louis,Strasbourg,TER,96216,134.8,St-Louis - Strasbourg,
2019-04-24 20:21,2019-04-24 21:33,1:12,Strasbourg,St-Louis,TER,96241,134.8,St-Louis - Strasbourg,
2019-04-25 09:31,2019-04-25 10:24,0:53,Basel SBB,Bern,IC,1065,100.3,Basel SBB - Bern,
2019-04-25 10:34,2019-04-25 11:40,1:06,Bern,Lausanne,IC,712,96.7,Bern - Lausanne,
2019-05-24 19:20,2019-05-24 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2019-05-24 20:36,2019-05-24 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2019-05-26 19:04,2019-05-26 19:28,0:24,Basel SBB,Olten,IC,687,31.8,Basel SBB - Olten,
2019-05-26 19:40,2019-05-26 20:51,1:11,Olten,Yverdon-les-Bains,IC,534,128.1,Olten - Yverdon-les-Bains,
2019-05-26 20:57,2019-05-26 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,35.2,Renens VD - Yverdon-les-Bains,
2019-07-05 19:20,2019-07-05 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2019-07-05 20:36,2019-07-05 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2019-07-19 08:00,2019-07-19 09:09,1:09,St-Louis,Strasbourg,TER,96212,134.8,St-Louis - Strasbourg,
2019-07-19 10:51,2019-07-19 12:09,1:18,Strasbourg,Basel SBB,TER,96217,141.5,Basel SBB - Strasbourg,
2019-07-29 07:30,2019-07-29 08:39,1:09,St-Louis,Strasbourg,TER,96210,134.8,St-Louis - Strasbourg,
2019-07-29 09:51,2019-07-29 11:00,1:09,Strasbourg,St-Louis,TER,96215,134.8,St-Louis - Strasbourg,
2019-07-30 06:34,2019-07-30 08:29,1:55,Basel Badischer Bahnhof,Ringsheim,RE,17012,91.1,Basel Badischer Bahnhof - Ringsheim,
2019-07-30 19:26,2019-07-30 21:12,1:46,Ringsheim,Basel Badischer Bahnhof,RE,17039,91.1,Basel Badischer Bahnhof - Ringsheim,
2019-08-03 07:07,2019-08-03 07:15,0:08,Pudong Airport,Longyang Road,Maglev,,30.1,Longyang Road - Pudong Airport,
2019-08-04 10:06,2019-08-04 11:01,0:55,Shanghai Hongqiao,Hangzhou East,G,7319,158.7,Hangzhou East - Shanghai Hongqiao,
2019-08-04 21:06,2019-08-04 22:05,0:59,Hangzhou East,Shanghai Hongqiao,G,7340,158.7,Hangzhou East - Shanghai Hongqiao,
2019-08-05 08:00,2019-08-05 08:27,0:27,Shanghai West,Suzhou,G,7004,78.5,Shanghai West - Suzhou,
2019-08-05 14:47,2019-08-05 15:20,0:33,Suzhou,Shanghai West,G,7082,78.5,Shanghai West - Suzhou,
2019-08-05 17:55,2019-08-05 22:36,4:41,Shanghai,Beijing,G,18,1325.1,Beijing - Shanghai,
2019-08-10 08:00,2019-08-10 10:16,2:16,Beijing South,Shanhaiguan,G,387,394.5,Beijing South - Shanhaiguan,
2019-08-10 20:30,2019-08-10 22:38,2:08,Shanhaiguan,Beijing South,G,385,394.5,Beijing South - Shanhaiguan,
2019-08-12 15:13,2019-08-12 15:50,0:37,Schiphol Airport,Delft,Intercity,2459,50.8,Delft - Schiphol Airport,
2019-08-12 17:50,2019-08-12 18:06,0:16,Delft,Den Haag Centraal,Sprinter,5158,10,Delft - Den Haag Centraal,
2019-08-12 21:17,2019-08-12 21:30,0:13,Den Haag Centraal,Delft,Intercity,1181,10,Delft - Den Haag Centraal,
2019-08-13,2019-08-13,,Delft,Den Haag Centraal,,,10,Delft - Den Haag Centraal,
2019-08-13,2019-08-13,,Den Haag Centraal,Amsterdam-Centraal,,,59.5,Amsterdam-Centraal - Den Haag Centraal,
2019-08-13,2019-08-13,,Amsterdam-Centraal,Den Haag Centraal,,,59.5,Amsterdam-Centraal - Den Haag Centraal,
2019-08-13,2019-08-13,,Den Haag Centraal,Delft,,,10,Delft - Den Haag Centraal,
2019-10-06 08:25,2019-10-06 08:45,0:20,Delft,Leiden Centraal,Intercity,2229,23.8,Delft - Leiden Centraal,
2019-10-06 08:16,2019-10-06 08:35,0:19,Leiden Centraal,Delft,,,23.8,Delft - Leiden Centraal,
2019-10-11 06:54,2019-10-11 07:55,1:01,Delft,Amsterdam-Centraal,Intercity,,67.9,Amsterdam-Centraal - Delft,
2019-10-13 10:40,2019-10-13 10:58,0:18,Amsterdam-Centraal,Schiphol Airport,,,17.1,Amsterdam-Centraal - Schiphol Airport,
2019-10-13 11:10,2019-10-13 11:51,0:41,Schiphol Airport,Delft,,,50.8,Delft - Schiphol Airport,
2019-11-10 07:54,2019-11-10 08:55,1:01,Delft,Amsterdam-Centraal,Intercity,,67.9,Amsterdam-Centraal - Delft,
2019-11-10 17:34,2019-11-10 18:35,1:01,Amsterdam-Centraal,Delft,Intercity,,67.9,Amsterdam-Centraal - Delft,
2019-12-21 07:01,2019-12-21 07:12,0:11,Delft,Rotterdam Centraal,Intercity,,14.5,Delft - Rotterdam Centraal,
2019-12-21 07:20,2019-12-21 07:58,0:38,Rotterdam Centraal,Utrecht Centraal,Intercity,,56.8,Rotterdam Centraal - Utrecht Centraal,
2019-12-21 08:37,2019-12-21 14:47,6:10,Utrecht Centraal,Basel SBB,ICE,105,715.2,Basel SBB - Utrecht Centraal,
2019-12-27 15:13,2019-12-27 21:31,6:18,Basel SBB,Utrecht Centraal,ICE,104,715.2,Basel SBB - Utrecht Centraal,
2019-12-27 21:42,2019-12-27 22:50,1:08,Utrecht Centraal,Delft,,,71,Delft - Utrecht Centraal,
2019-12-29 13:36,2019-12-29 13:47,0:11,Delft,Den Haag Centraal,,,10,Delft - Den Haag Centraal,
2019-12-29 16:53,2019-12-29 17:09,0:16,Den Haag Centraal,Delft,,,10,Delft - Den Haag Centraal,
2019-12-30 08:24,2019-12-30 09:25,1:01,Delft,Amsterdam-Centraal,Intercity,,67.9,Amsterdam-Centraal - Delft,
2019-12-30 16:02,2019-12-30 16:39,0:37,Amsterdam-Centraal,Leiden Centraal,,,44.1,Amsterdam-Centraal - Leiden Centraal,
2019-12-30 16:45,2019-12-30 17:26,0:41,Leiden Centraal,Delft,,,23.8,Delft - Leiden Centraal,
2019-12-31 14:24,2019-12-31 14:40,0:16,Delft,Rotterdam Centraal,,,14.5,Delft - Rotterdam Centraal,
2020-01-01 00:50,2020-01-01 01:34,0:44,Rotterdam Centraal,Delft,,,14.5,Delft - Rotterdam Centraal,
2020-01-25 06:24,2020-01-25 06:45,0:21,Delft,Leiden Centraal,Intercity,,23.8,Delft - Leiden Centraal,
2020-01-25 06:47,2020-01-25 07:02,0:15,Leiden Centraal,Schiphol Airport,Intercity,,27,Leiden Centraal - Schiphol Airport,
2020-02-01 09:06,2020-02-01 11:22,2:16,Basel SBB,Chur,ICE,271,206.2,Basel SBB - Chur,
2020-02-07 19:09,2020-02-07 21:27,2:18,Chur,Basel SBB,IC,584,206.2,Basel SBB - Chur,
2020-02-09 13:49,2020-02-09 14:02,0:13,Schiphol Airport,Amsterdam Bijlmer ArenA,Intercity,,15.1,Amsterdam Bijlmer ArenA - Schiphol Airport,
2020-02-09 14:04,2020-02-09 15:04,1:00,Amsterdam Bijlmer ArenA,Rotterdam Centraal,Sprinter,,70.5,Amsterdam Bijlmer ArenA - Rotterdam Centraal,
2020-02-09 15:12,2020-02-09 15:24,0:12,Rotterdam Centraal,Delft,Intercity,,14.5,Delft - Rotterdam Centraal,
2020-04-16 05:41,2020-04-16 05:56,0:15,Delft,Den Haag Centraal,Sprinter,,10,Delft - Den Haag Centraal,
2020-04-16 06:08,2020-04-16 07:18,1:10,Den Haag Centraal,Amsterdam-Centraal,Sprinter,,59.5,Amsterdam-Centraal - Den Haag Centraal,
2020-04-16 08:08,2020-04-16 14:35,6:27,Amsterdam-Centraal,Basel Badischer Bahnhof,ICE,105,746.3,Amsterdam-Centraal - Basel Badischer Bahnhof,
2020-07-06 10:04,2020-07-06 10:18,0:14,Delft,Rotterdam Centraal,,,14.5,Delft - Rotterdam Centraal,
2020-07-06 17:25,2020-07-06 17:40,0:15,Rotterdam Centraal,Delft,,,14.5,Delft - Rotterdam Centraal,
2020-07-12 09:54,2020-07-12 10:07,0:13,Delft,Den Haag Centraal,,,10,Delft - Den Haag Centraal,
2020-07-12 14:00,2020-07-12 14:15,0:15,Den Haag Centraal,Delft,,,10,Delft - Den Haag Centraal,
2020-07-14 16:36,2020-07-14 16:54,0:18,Delft,Rotterdam Centraal,,,14.5,Delft - Rotterdam Centraal,
2020-07-14 20:10,2020-07-14 20:38,0:28,Rotterdam Centraal,Delft,,,14.5,Delft - Rotterdam Centraal,
2020-09-10 19:20,2020-09-10 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2020-09-10 20:36,2020-09-10 21:32,0:56,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2020-09-13 19:03,2020-09-13 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,101.1,Basel SBB - Biel/Bienne,
2020-09-13 20:16,2020-09-13 20:51,0:35,Biel/Bienne,Yverdon-les-Bains,IC,10534,65.1,Biel/Bienne - Yverdon-les-Bains,
2020-09-13 20:57,2020-09-13 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,35.2,Renens VD - Yverdon-les-Bains,
2020-10-15 19:20,2020-10-15 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2020-10-15 20:36,2020-10-15 21:32,0:56,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2020-10-18 19:03,2020-10-18 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,101.1,Basel SBB - Biel/Bienne,
2020-10-18 20:16,2020-10-18 20:51,0:35,Biel/Bienne,Yverdon-les-Bains,IC,534,65.1,Biel/Bienne - Yverdon-les-Bains,
2020-10-18 20:57,2020-10-18 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,35.2,Renens VD - Yverdon-les-Bains,
2020-12-23 19:20,2020-12-23 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2020-12-23 20:36,2020-12-23 21:32,0:56,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2021-01-04 19:28,2021-01-04 20:26,0:58,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2021-01-04 20:34,2021-01-04 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2021-01-16 20:01,2021-01-16 20:14,0:13,Renens VD,Eclépens,S1,24178,17.8,Eclépens - Renens VD,
2021-01-16 20:42,2021-01-16 20:57,0:15,Eclépens,Renens VD,S1,24181,17.8,Eclépens - Renens VD,
2021-02-17 14:20,2021-02-17 15:27,1:07,Lausanne,Bern,IC,723,96.7,Bern - Lausanne,
2021-02-17 15:36,2021-02-17 16:32,0:56,Bern,Basel SBB,IC,1074,100.3,Basel SBB - Bern,
2021-02-21 19:03,2021-02-21 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,101.1,Basel SBB - Biel/Bienne,
2021-02-21 20:16,2021-02-21 20:52,0:36,Biel/Bienne,Yverdon-les-Bains,IC,30534,65.1,Biel/Bienne - Yverdon-les-Bains,
2021-02-21 20:57,2021-02-21 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,35.2,Renens VD - Yverdon-les-Bains,
2021-03-04 19:02,2021-03-04 19:08,0:06,Renens VD,Lausanne,RE,18481,3.9,Lausanne - Renens VD,
2021-03-04 19:20,2021-03-04 20:27,1:07,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2021-03-04 20:36,2021-03-04 21:32,0:56,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2021-03-06 19:03,2021-03-06 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,101.1,Basel SBB - Biel/Bienne,
2021-03-06 20:16,2021-03-06 20:52,0:36,Biel/Bienne,Yverdon-les-Bains,IC,534,65.1,Biel/Bienne - Yverdon-les-Bains,
2021-03-06 20:57,2021-03-06 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,35.2,Renens VD - Yverdon-les-Bains,
2021-04-02 19:02,2021-04-02 19:08,0:06,Renens VD,Lausanne,RE,18481,3.9,Lausanne - Renens VD,
2021-04-02 19:20,2021-04-02 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2021-04-02 20:36,2021-04-02 21:32,0:56,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2021-04-06 19:03,2021-04-06 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,101.1,Basel SBB - Biel/Bienne,
2021-04-06 20:16,2021-04-06 20:52,0:36,Biel/Bienne,Yverdon-les-Bains,IC,534,65.1,Biel/Bienne - Yverdon-les-Bains,
2021-04-06 20:57,2021-04-06 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,35.2,Renens VD - Yverdon-les-Bains,
2021-06-04 19:02,2021-06-04 19:09,0:07,Renens VD,Lausanne,RE,18481,3.9,Lausanne - Renens VD,
2021-06-04 19:20,2021-06-04 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2021-06-04 20:36,2021-06-04 21:32,0:56,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2021-06-07 19:03,2021-06-07 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,101.1,Basel SBB - Biel/Bienne,
2021-06-07 20:16,2021-06-07 20:52,0:36,Biel/Bienne,Yverdon-les-Bains,IC,534,65.1,Biel/Bienne - Yverdon-les-Bains,
2021-06-07 20:57,2021-06-07 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,35.2,Renens VD - Yverdon-les-Bains,
2021-07-14 19:02,2021-07-14 19:08,0:06,Renens VD,Lausanne,RE,18481,3.9,Lausanne - Renens VD,
2021-07-14 19:20,2021-07-14 20:27,1:07,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2021-07-14 20:36,2021-07-14 21:32,0:56,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2021-08-01 10:30,2021-08-01 11:41,1:11,St-Louis,Strasbourg,TER,96220,134.8,St-Louis - Strasbourg,
2021-08-01 17:51,2021-08-01 18:59,1:08,Strasbourg,St-Louis,TER,86223,134.8,St-Louis - Strasbourg,
2021-08-16 07:30,2021-08-16 07:44,0:14,St-Louis,Mulhouse,TER,96210,27,Mulhouse - St-Louis,
2021-08-16 07:57,2021-08-16 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,2203,711.6,Montpellier St-Roch - Mulhouse,
2021-08-16 13:07,2021-08-16 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
2021-10-08 17:43,2021-10-08 21:52,4:09,Toulouse Matabiau,Lyon Part-Dieu,TGV InOui,6875,561.1,Lyon Part-Dieu - Toulouse Matabiau,
2021-10-08 22:15,2021-10-08 23:03,0:48,Lyon Part-Dieu,Mâcon Ville,TER,86038,66.7,Lyon Part-Dieu - Mâcon Ville,
2021-10-10 10:22,2021-10-10 12:54,2:32,Mâcon Ville,Montpellier St-Roch,TGV InOui,2203,380.8,Mâcon Ville - Montpellier St-Roch,
2021-10-10 13:07,2021-10-10 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
2021-10-29 10:46,2021-10-29 12:51,2:05,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,247,Montpellier St-Roch - Toulouse Matabiau,
2021-10-29 13:55,2021-10-29 19:10,5:15,Montpellier St-Roch,Mulhouse,TGV InOui,5500,711.6,Montpellier St-Roch - Mulhouse,
2021-10-29 19:17,2021-10-29 19:30,0:13,Mulhouse,St-Louis,TER,96281,27,Mulhouse - St-Louis,
2021-11-01 07:16,2021-11-01 07:39,0:23,St-Louis,Mulhouse,TER,96104,27,Mulhouse - St-Louis,
2021-11-01 07:57,2021-11-01 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,2203,711.6,Montpellier St-Roch - Mulhouse,
2021-11-01 13:07,2021-11-01 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
2021-12-22 10:46,2021-12-22 12:51,2:05,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,247,Montpellier St-Roch - Toulouse Matabiau,
2021-12-22 13:58,2021-12-22 19:08,5:10,Montpellier St-Roch,Mulhouse,TGV InOui,5500,711.6,Montpellier St-Roch - Mulhouse,
2021-12-22 19:16,2021-12-22 19:29,0:13,Mulhouse,St-Louis,TER,96281,27,Mulhouse - St-Louis,
2021-12-29 07:16,2021-12-29 07:39,0:23,St-Louis,Mulhouse,TER,96104,27,Mulhouse - St-Louis,
2021-12-29 07:57,2021-12-29 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,711.6,Montpellier St-Roch - Mulhouse,
2021-12-29 13:51,2021-12-29 14:55,1:04,Montpellier St-Roch,Narbonne,TER,876417,97.3,Montpellier St-Roch - Narbonne,
2021-12-29 15:09,2021-12-29 16:42,1:33,Narbonne,Toulouse Matabiau,TER,876258,149.5,Narbonne - Toulouse Matabiau,
2022-02-19 10:46,2022-02-19 12:51,2:05,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,247,Montpellier St-Roch - Toulouse Matabiau,
2022-02-19 15:08,2022-02-19 17:14,2:06,Montpellier St-Roch,Lyon Part-Dieu,TGV InOui,6873,314.1,Lyon Part-Dieu - Montpellier St-Roch,
2022-02-19 18:04,2022-02-19 21:02,2:58,Lyon Part-Dieu,Mulhouse,TGV InOui,9896,396.8,Lyon Part-Dieu - Mulhouse,
2022-02-20 14:33,2022-02-20 16:52,2:19,Basel SBB,Chur,IC,10575,206.2,Basel SBB - Chur,
2022-02-25 17:08,2022-02-25 18:22,1:14,Chur,Zürich HB,IC,580,115.8,Chur - Zürich HB,
2022-02-25 18:32,2022-02-25 20:40,2:08,Zürich HB,Lausanne,IC,730,213.7,Lausanne - Zürich HB,
2022-02-27 11:15,2022-02-27 12:57,1:42,Lausanne,Olten,IC,1521,159,Lausanne - Olten,
2022-02-27 13:12,2022-02-27 13:45,0:33,Olten,Basel SBB,IR,2470,31.8,Basel SBB - Olten,
2022-02-28 07:14,2022-02-28 07:37,0:23,St-Louis,Mulhouse,TER,96104,27,Mulhouse - St-Louis,
2022-02-28 07:57,2022-02-28 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,711.6,Montpellier St-Roch - Mulhouse,
2022-02-28 13:07,2022-02-28 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
2022-03-26 08:28,2022-03-26 10:40,2:12,Toulouse Matabiau,Bordeaux St-Jean,TGV InOui,8504,256.5,Bordeaux St-Jean - Toulouse Matabiau,
2022-03-27 17:53,2022-03-27 18:30,0:37,Bordeaux St-Jean,Angoulême,TGV InOui,8442,114.4,Angoulême - Bordeaux St-Jean,
2022-03-27 19:09,2022-03-27 19:54,0:45,Angoulême,Poitiers,TGV InOui,8450,114,Angoulême - Poitiers,
2022-04-01 17:28,2022-04-01 18:44,1:16,Poitiers,Bordeaux St-Jean,TGV InOui,8447,256.5,Bordeaux St-Jean - Poitiers,
