Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,Distance (km),Alphabetical trip,
2023-08-15 21:20,2023-08-15 23:31,2:11,Bordeaux St-Jean,Toulouse Matabiau,TGV InOui,12213,256.5,Bordeaux St-Jean - Toulouse Matabiau,
2023-10-05 10:45,2023-10-05 12:54,2:09,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,247,Montpellier St-Roch - Toulouse Matabiau,"Accident de personne à Escalquens, départ avec 2h40 de retard de Toulouse. Hôtel à Montpellier payé par SNCF, ainsi que trajet le lendemain."
2023-10-06 08:50,2023-10-06 12:18,3:28,Montpellier St-Roch,Paris Gare de Lyon,TGV InOui,6030,738.9,Montpellier St-Roch - Paris Gare de Lyon,
2023-10-06 14:22,2023-10-06 17:02,2:40,Paris Gare de Lyon,Mulhouse,TGV Lyria,9215,490.4,Mulhouse - Paris Gare de Lyon,
2023-10-06 17:16,2023-10-06 17:29,0:13,Mulhouse,St-Louis,TER,96227,27,Mulhouse - St-Louis,
2023-10-08 13:21,2023-10-08 13:35,0:14,Lausanne,Vevey,IR,1721,18.4,Lausanne - Vevey,
2023-10-16 08:22,2023-10-16 09:58,1:36,Basel Badischer Bahnhof,Karlsruhe Hbf,ICE,372,191.3,Basel Badischer Bahnhof - Karlsruhe Hbf,10min retard
2023-10-16 10:06,2023-10-16 11:00,0:54,Karlsruhe Hbf,Stuttgart Hbf,IRE,1,86.7,Karlsruhe Hbf - Stuttgart Hbf,20min retard
2023-10-16 11:28,2023-10-16 11:36,0:08,Stuttgart Hbf,Stuttgart-Zuffenhausen,S5,,6.3,Stuttgart Hbf - Stuttgart-Zuffenhausen,
2023-10-16 12:47,2023-10-16 12:53,0:06,Stuttgart-Zuffenhausen,Ludwigsburg,S4,,7.4,Ludwigsburg - Stuttgart-Zuffenhausen,5min retard
2023-10-16 18:06,2023-10-16 18:13,0:07,Ludwigsburg ,Stuttgart-Zuffenhausen,S4,,7.4,Ludwigsburg  - Stuttgart-Zuffenhausen,
2023-10-18 11:51,2023-10-18 12:28,0:37,Stuttgart Hbf,Mannheim Hbf,ICE,610,106.6,Mannheim Hbf - Stuttgart Hbf,
2023-10-18 12:36,2023-10-18 14:15,1:39,Mannheim Hbf,Saarbrücken Hbf,RE,1,130.2,Mannheim Hbf - Saarbrücken Hbf,4min retard
2023-10-19 10:01,2023-10-19 10:13,0:12,Saarbrücken Hbf,Völklingen,RB,70,10.6,Saarbrücken Hbf - Völklingen,
2023-10-19 13:32,2023-10-19 13:41,0:09,Völklingen,Saarbrücken Hbf,RE,1,10.6,Saarbrücken Hbf - Völklingen,5min retard
2023-10-20 09:39,2023-10-20 11:25,1:46,Saarbrücken Hbf,Strasbourg,RE,19,114.7,Saarbrücken Hbf - Strasbourg,
2023-10-20 15:51,2023-10-20 17:08,1:17,Strasbourg,Basel SBB,TER,96225,141.5,Basel SBB - Strasbourg,
2023-10-23 08:22,2023-10-23 15:36,7:14,Basel Badischer Bahnhof,Hamburg Hbf,ICE,372,864,Basel Badischer Bahnhof - Hamburg Hbf,28min retard
2023-10-24 08:21,2023-10-24 10:50,2:29,Hamburg Hbf,Rostock Hbf,RE,1,210.2,Hamburg Hbf - Rostock Hbf,17min retard
2023-10-24 11:48,2023-10-24 12:09,0:21,Rostock Hbf,Warnemünde,S2,,13.4,Rostock Hbf - Warnemünde,
2023-10-24 13:33,2023-10-24 13:40,0:07,Warnemünde,Rostock-Lütten Klein,S1,,5,Rostock-Lütten Klein - Warnemünde,
2023-10-24 15:41,2023-10-24 15:55,0:14,Rostock-Lütten Klein,Rostock Hbf,S1,,8.4,Rostock Hbf - Rostock-Lütten Klein,
2023-10-25 09:00,2023-10-25 10:55,1:55,Rostock Hbf,Ostseebad Binz,RE,9,123.1,Ostseebad Binz - Rostock Hbf,
2023-10-25 12:40,2023-10-25 13:05,0:25,Binz LB,Sellin Ost,PRE,105,8.2,Binz LB - Sellin Ost,
2023-10-25 15:53,2023-10-25 16:37,0:44,Göhren,Binz LB,PRE,108,13.2,Binz LB - Göhren,
2023-10-25 17:02,2023-10-25 18:55,1:53,Ostseebad Binz,Rostock Hbf,RE,9,123.1,Ostseebad Binz - Rostock Hbf,
2023-10-26 08:11,2023-10-26 10:03,1:52,Rostock Hbf,Züssow,RE,10,121.1,Rostock Hbf - Züssow,"12min retard, train suivant attend"
2023-10-26 10:08,2023-10-26 10:47,0:39,Züssow,Zinnowitz,RB,23,28.1,Zinnowitz - Züssow,4min de retard
2023-10-26 11:13,2023-10-26 11:27,0:14,Zinnowitz,Peenemünde,RB,24,12.7,Peenemünde - Zinnowitz,
2023-10-26 15:32,2023-10-26 15:46,0:14,Peenemünde,Zinnowitz,RB,24,12.7,Peenemünde - Zinnowitz,
2023-10-26 16:11,2023-10-26 16:48,0:37,Zinnowitz,Züssow,RB,23,28.1,Zinnowitz - Züssow,
2023-10-26 17:05,2023-10-26 17:43,0:38,Züssow,Stralsund Hbf,RE,3,48.8,Stralsund Hbf - Züssow,
2023-10-26 17:59,2023-10-26 18:55,0:56,Stralsund Hbf,Rostock Hbf,RE,9,73.1,Rostock Hbf - Stralsund Hbf,
2023-10-27 08:21,2023-10-27 10:23,2:02,Rostock Hbf,Berlin Hbf,IC,2175,222.8,Berlin Hbf - Rostock Hbf,
2023-10-27 11:01,2023-10-27 13:07,2:06,Berlin Hbf,Dresden Hbf,EC,379,194.8,Berlin Hbf - Dresden Hbf,5min retard
2023-10-29 09:23,2023-10-29 10:30,1:07,Dresden Hbf,Leipzig Hbf,IC,2548,124.8,Dresden Hbf - Leipzig Hbf,
,,,,,,,,,
2023-10-31 09:48,2023-10-31 11:52,2:04,Leipzig Hbf,Nürnberg Hbf,ICE,505,311.2,Leipzig Hbf - Nürnberg Hbf,
,,,,,,,,,
2023-11-01 13:30,2023-11-01 15:36,2:06,Nürnberg Hbf,Frankfurt (Main) Hbf,ICE,28,226.1,Frankfurt (Main) Hbf - Nürnberg Hbf,
2023-11-01 16:06,2023-11-01 18:46,2:40,Frankfurt (Main) Hbf,Basel Badischer Bahnhof,ICE,77,328.1,Basel Badischer Bahnhof - Frankfurt (Main) Hbf,
,,,,,,,,,
2023-11-02 07:29,2023-11-02 07:44,0:15,St-Louis,Mulhouse,TER,96210,27,Mulhouse - St-Louis,
2023-11-02 07:52,2023-11-02 12:54,5:02,Mulhouse,Montpellier St-Roch,TGV InOui,5521,711.6,Montpellier St-Roch - Mulhouse,
2023-11-02 13:06,2023-11-02 15:18,2:12,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
,,,,,,,,,
2023-12-23 10:43,2023-12-23 12:56,2:13,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,247,Montpellier St-Roch - Toulouse Matabiau,
2023-12-23 13:57,2023-12-23 19:09,5:12,Montpellier St-Roch,Mulhouse,TGV InOui,5500,711.6,Montpellier St-Roch - Mulhouse,
2023-12-23 19:19,2023-12-23 19:42,0:23,Mulhouse,St-Louis,TER,96141,27,Mulhouse - St-Louis,
,,,,,,,,,
2023-12-26 09:29,2023-12-26 10:39,1:10,St-Louis,Strasbourg,TER,96218,134.8,St-Louis - Strasbourg,
2023-12-26 10:47,2023-12-26 12:33,1:46,Strasbourg,Paris Gare de l’Est,TGV InOui,2356,438.7,Paris Gare de l’Est - Strasbourg,
2023-12-26 14:42,2023-12-26 16:02,1:20,Paris Gare du Nord,London Saint-Pancras International,Eurostar,9037,490.8,London Saint-Pancras International - Paris Gare du Nord,
,,,,,,,,,
2023-12-28 08:33,2023-12-28 10:44,2:11,London Euston,Manchester Picadilly,Avanti West Coast ,,303.5,London Euston - Manchester Picadilly,
2023-12-28 16:15,2023-12-28 18:27,2:12,Manchester Picadilly,London Euston,Avanti West Coast ,,303.5,London Euston - Manchester Picadilly,
,,,,,,,,,
2024-01-01 10:24,2024-01-01 13:48,3:24,London Saint-Pancras International,Paris Gare du Nord,Eurostar,9018,490.8,London Saint-Pancras International - Paris Gare du Nord,
